product_details_link,product_title,ram,storage,display,phone_color,operating_system,current_price,old_price,total_reviews,brand_name,seller,seller_rating,ship_on_time
https://www.othoba.com/infinix-smart-7-x6515-3gb-64gb-best-price,Infinix Smart 7 X6515 3GB 64GB (Best Price),4 GB,Android,128-255.9 GB,Blue,6.4,49999,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/oneplus-nord-n20-se-4gb-ram-and-128gb-rom,Oneplus Nord N20 SE 4GB RAM and 128GB ROM,6 GB   Above,Android,128-255.9 GB,Blue,6.4,49999,,0,OnePlus,OnePlus,0%,0%
https://www.othoba.com/realme-note-50-4gb-128gb-best-price,Realme Note 50 4GB 128GB (Best Price),6 4,4 GB,128-255.9 GB,Blue,Android,49999,,0,realme,Realme,90%,89%
https://www.othoba.com/realme-note-50-4gb-128gb,Realme Note 50 4GB 128GB,6 4,4 GB,128-255.9 GB,Blue,Android,49999,,0,realme,Realme,90%,89%
https://www.othoba.com/realme-c67-with-8gb-ram-128gb-rom-best-price,Realme C67 with 8GB RAM 128GB ROM (Best Price),6 4,6 GB & Above,128-255.9 GB,Blue,Android,49999,,0,realme,Realme,90%,89%
https://www.othoba.com/realme-c67-with-8gb-ram-128gb-rom,Realme C67 with 8GB RAM 128GB ROM,6 4,6 GB & Above,128-255.9 GB,Blue,Android,49999,,0,realme,Realme,90%,89%
https://www.othoba.com/realme-narzo-50a-prime-4gb128gb-blue,realme Narzo 50a Prime 4GB/128GB- Blue,6 4,4 GB,128-255.9 GB,Blue,Android,49999,,0,realme,Realme,90%,89%
https://www.othoba.com/oneplus-nord-n20-se-4gb-ram-and-128gb-rom-best-price,Oneplus Nord N20 SE 4GB RAM and 128GB ROM (Best Price),6 GB   Above,Android,128-255.9 GB,Blue,6.4,49999,,0,OnePlus,OnePlus,0%,0%
https://www.othoba.com/realme-narzo-50a-prime-4gb128gb-blue-best-price,realme Narzo 50a Prime 4GB/128GB- Blue (Best Price),6 4,4 GB,128-255.9 GB,Blue,Android,49999,,0,realme,Realme,90%,89%
https://www.othoba.com/infinix-note-40-pro-12gb-256gb,Infinix Note 40 Pro 12GB 256GB,5 2,Gold,,Android,,49999,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-40-pro-12gb-256gb-best-price,Infinix Note 40 Pro 12GB 256GB (Best Price),5 2,Gold,,Android,,49999,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-40-pro-8gb-256gb-best-price,Infinix Note 40 Pro 8GB 256GB (Best Price),5 2,Gold,,Android,,49999,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-40-pro-8gb-256gb,Infinix Note 40 Pro 8GB 256GB,5 2,Gold,,Android,,49999,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-40-8gb-256gb-best-price,Infinix Note 40 8GB 256GB (Best Price),5 2,Gold,,Android,,49999,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-note-40-8gb-256gb,Infinix Note 40 8GB 256GB,5 2,Gold,,Android,,49999,,0,Infinix,Infinix,95%,91%
https://www.othoba.com/infinix-hot-40-8gb128gb-best-price,Infinix Hot 40 8GB/128GB (Best Price),5 2,Gold,,Android,,49999,,0,Infinix,Infinix,95%,91%
